Date,Product,Quantity_Sold,Revenue
2/3/2023,Furniture,18,5053.97
4/21/2023,Furniture,17,4384.02
9/21/2023,Food,30,4631.23
8/24/2023,Clothing,39,2167.94
3/24/2023,Electronics,13,3750.2
2/11/2023,Food,32,3761.15
4/11/2023,Furniture,29,618.31
1/6/2023,Furniture,46,7698.92
6/29/2023,Furniture,30,4223.39
10/9/2023,Clothing,18,8239.58
11/16/2023,Furniture,13,8518.45
8/14/2023,Food,43,2198.74
11/11/2023,Food,21,6607.8
12/31/2023,Furniture,30,4775.59
8/17/2023,Food,21,8813.55
10/16/2023,Furniture,48,2235.83
5/30/2023,Furniture,17,6810.35
10/4/2023,Electronics,40,6116.75
7/17/2023,Clothing,19,3023.48
3/11/2023,Clothing,15,1452.35
4/22/2023,Electronics,9,6551.23
1/4/2023,Electronics,10,7412.11
12/16/2023,Clothing,44,3224.71
11/27/2023,Furniture,31,6483.84
11/14/2023,Furniture,23,4011.8
12/16/2023,Clothing,30,7160.75
4/5/2023,Furniture,33,2072.23
6/1/2023,Electronics,9,8913.13
11/7/2023,Furniture,47,2945.36
5/17/2023,Furniture,1,3741.08
9/4/2023,Food,44,675.11
8/31/2023,Food,35,1203.97
1/31/2023,Food,11,5207.03
2/9/2023,Furniture,34,2749.17
8/17/2023,Clothing,16,8371.25
2/5/2023,Electronics,9,245.46
8/11/2023,Furniture,32,3853.03
1/6/2023,Clothing,15,3439.72
11/18/2023,Furniture,12,291.34
8/8/2023,Electronics,33,1331.25
3/16/2023,Furniture,45,4195.06
1/4/2023,Electronics,14,4979.36
12/1/2023,Furniture,8,4102.47
5/14/2023,Electronics,8,5356.28
4/28/2023,Furniture,27,5991.8
4/4/2023,Electronics,12,198.25
3/3/2023,Food,1,4694.54
7/13/2023,Furniture,43,9638.64
12/1/2023,Furniture,40,5238.42
7/22/2023,Clothing,42,6807.67
